[01/400] Total Loss: 0.1405, Discrepancy Loss: 0.0205,  Constraint Loss: 0.1200
[02/400] Total Loss: 0.0474, Discrepancy Loss: 0.0138,  Constraint Loss: 0.0336
[03/400] Total Loss: 0.0354, Discrepancy Loss: 0.0137,  Constraint Loss: 0.0217
[04/400] Total Loss: 0.0596, Discrepancy Loss: 0.0202,  Constraint Loss: 0.0394
[05/400] Total Loss: 0.0193, Discrepancy Loss: 0.0099,  Constraint Loss: 0.0093
[06/400] Total Loss: 0.0144, Discrepancy Loss: 0.0072,  Constraint Loss: 0.0072
[07/400] Total Loss: 0.0103, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0045
[08/400] Total Loss: 0.0131, Discrepancy Loss: 0.0091,  Constraint Loss: 0.0040
[09/400] Total Loss: 0.0115, Discrepancy Loss: 0.0079,  Constraint Loss: 0.0035
[10/400] Total Loss: 0.0081, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0028
[11/400] Total Loss: 0.0081, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0030
[12/400] Total Loss: 0.0061, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0026
[13/400] Total Loss: 0.0089, Discrepancy Loss: 0.0067,  Constraint Loss: 0.0023
[14/400] Total Loss: 0.0049, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0018
[11/300] Total Loss: 0.0062, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0022
[12/300] Total Loss: 0.0103, Discrepancy Loss: 0.0067,  Constraint Loss: 0.0036
[13/300] Total Loss: 0.0057, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0016
[14/300] Total Loss: 0.0059, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0017
[15/300] Total Loss: 0.0049, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0017
[16/300] Total Loss: 0.0062, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0019
[17/300] Total Loss: 0.0053, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0014
[18/300] Total Loss: 0.0055, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0012
[19/300] Total Loss: 0.0039, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0009
[20/300] Total Loss: 0.0045, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0014
[21/300] Total Loss: 0.0037, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0009
[22/300] Total Loss: 0.0038, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0007
[23/300] Total Loss: 0.0153, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0110
[24/300] Total Loss: 0.0050, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0007
[25/300] Total Loss: 0.0053, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0013
[26/300] Total Loss: 0.0037, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0007
[27/300] Total Loss: 0.0064, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0033
[28/300] Total Loss: 0.0035, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0008
[29/300] Total Loss: 0.0035, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0009
[30/300] Total Loss: 0.0037, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0007
[31/300] Total Loss: 0.0064, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0015
[32/300] Total Loss: 0.0042, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0010
[33/300] Total Loss: 0.0021, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0005
[34/300] Total Loss: 0.0187, Discrepancy Loss: 0.0156,  Constraint Loss: 0.0031
[35/300] Total Loss: 0.0081, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0028
[36/300] Total Loss: 0.0043, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0005
[37/300] Total Loss: 0.0041, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0005
[38/300] Total Loss: 0.0043, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0011
[39/300] Total Loss: 0.0028, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0006
[40/300] Total Loss: 0.0029, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0009
