[01/600] Total Loss: 0.0347, Discrepancy Loss: 0.0066,  Constraint Loss: 0.5621
[02/600] Total Loss: 0.0336, Discrepancy Loss: 0.0109,  Constraint Loss: 0.4546
[03/600] Total Loss: 0.0136, Discrepancy Loss: 0.0080,  Constraint Loss: 0.1118
[04/600] Total Loss: 0.0071, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0467
[05/600] Total Loss: 0.0063, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0408
[06/600] Total Loss: 0.0069, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0340
[07/600] Total Loss: 0.0052, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0263
[08/600] Total Loss: 0.0142, Discrepancy Loss: 0.0117,  Constraint Loss: 0.0513
[09/600] Total Loss: 0.0062, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0289
[10/600] Total Loss: 0.0052, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0201
[11/600] Total Loss: 0.0048, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0184
[12/600] Total Loss: 0.0037, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0168
[13/600] Total Loss: 0.0045, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0144
[14/600] Total Loss: 0.0058, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0114
[15/600] Total Loss: 0.0061, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0181
[16/600] Total Loss: 0.0065, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0157
[17/600] Total Loss: 0.0074, Discrepancy Loss: 0.0066,  Constraint Loss: 0.0162
[18/600] Total Loss: 0.0051, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0111
[19/600] Total Loss: 0.0046, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0100
[20/600] Total Loss: 0.0048, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0124
[21/600] Total Loss: 0.0036, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0115
[22/600] Total Loss: 0.0040, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0110
[23/600] Total Loss: 0.0036, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0092
[24/600] Total Loss: 0.0025, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0081
[25/600] Total Loss: 0.0088, Discrepancy Loss: 0.0082,  Constraint Loss: 0.0120
[26/600] Total Loss: 0.0065, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0097
[27/600] Total Loss: 0.0051, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0108
[28/600] Total Loss: 0.0037, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0105
[29/600] Total Loss: 0.0048, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0086
[30/600] Total Loss: 0.0043, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0080
[31/600] Total Loss: 0.0036, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0085
[32/600] Total Loss: 0.0048, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0087
[33/600] Total Loss: 0.0037, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0092
[34/600] Total Loss: 0.0042, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0095
[35/600] Total Loss: 0.0051, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0088
