[01/200] Total Loss: 0.0033, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0060
[02/200] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0031
[03/200] Total Loss: 0.0037, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0027
[04/200] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0021
[05/200] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0018
[06/200] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0017
[07/200] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0016
[08/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0014
[09/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0009
[10/200] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0016
[11/200] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0014
[12/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0013
[13/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0009
[14/200] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0012
[15/200] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0015
[16/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0011
[17/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0011
[18/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0007
[19/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0011
[20/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0009
[21/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0009
[22/200] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0009
[23/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0009
[24/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0007
[25/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0007
[26/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0008
[27/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0008
[28/200] Total Loss: 0.0034, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0012
[29/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0008
[30/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[31/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0006
[32/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0008
[33/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0007
[34/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0007
[35/200] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0007
[36/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0008
[37/200] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0011
[38/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0007
[39/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0007
[40/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0006
[41/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0010
[42/200] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0008
[43/200] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0008
[44/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0007
[45/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0007
[46/200] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0009
[47/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0006
[48/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0006
[49/200] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0008
[50/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0005
[51/200] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0007
[52/200] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0007
[53/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0005
[54/200] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0006
[55/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0005
[56/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0005
[57/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0004
[58/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0005
[59/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0003
[60/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0005
[61/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0006
[62/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0006
[63/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0007
[64/200] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0006
[65/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0005
[66/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0006
[67/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0004
[68/200] Total Loss: 0.0036, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0007
[69/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0004
[70/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0004
[71/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0005
[72/200] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0004
[73/200] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0015
[74/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0005
[75/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0005
[76/200] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0006
[77/200] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0009
[78/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0004
[79/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0004
[80/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0006
[81/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0005
[82/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0004
[83/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0003
[84/200] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0007
[85/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0005
[86/200] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0006
[87/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0003
[88/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0003
[89/200] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0007
[90/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0004
[91/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0004
[92/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0004
[93/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0004
[94/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0003
[95/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0005
[96/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0003
[97/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0005
[98/200] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0004
[99/200] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0004
[100/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0008
[101/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0005
[102/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0004
[103/200] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0006
[104/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0004
[105/200] Total Loss: 0.0036, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0006
[106/200] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0004
[107/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0003
[108/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0004
[109/200] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0004
[110/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0003
[111/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0003
[112/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0003
[113/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0004
[114/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0003
[115/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0005
[116/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0004
[117/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0004
[118/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0002
[119/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0003
[120/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0003
[121/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0003
[122/200] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0004
[123/200] Total Loss: 0.0038, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0007
[124/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0003
[125/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0003
[126/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0003
[127/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0004
[128/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0004
[129/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0005
[130/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0004
[131/200] Total Loss: 0.0033, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0004
[132/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0003
[133/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0004
[134/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0004
[135/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0004
[136/200] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0003
[137/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0004
[138/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0002
[139/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0003
[140/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0004
[141/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0003
[142/200] Total Loss: 0.0030, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0006
[143/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0003
[144/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0003
[145/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0012
[146/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0005
[147/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0004
[148/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0003
[149/200] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0004
[150/200] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0003
[151/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0005
[152/200] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0003
[153/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0006
[154/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0004
[155/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0009
[156/200] Total Loss: 0.0008, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0002
[157/200] Total Loss: 0.0033, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0004
[158/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0002
