[20/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0023
[21/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0022
[22/200] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0021
[23/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0036
[24/200] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0032
[25/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0024
[26/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0021
[27/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0027
[28/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0021
[29/200] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0027
[30/200] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0022
[31/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0021
[32/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0022
[33/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0023
[34/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0031
[35/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0025
[36/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0018
[37/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0015
[38/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0018
[39/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0016
[40/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0014
[41/200] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0030
