[01/500] Total Loss: 27.7709, Discrepancy Loss: 0.3697,  Constraint Loss: 0.2740
[02/500] Total Loss: 3.0763, Discrepancy Loss: 0.1847,  Constraint Loss: 0.0289
[03/500] Total Loss: 1.3390, Discrepancy Loss: 0.0426,  Constraint Loss: 0.0130
[04/500] Total Loss: 0.7132, Discrepancy Loss: 0.0269,  Constraint Loss: 0.0069
[05/500] Total Loss: 0.5622, Discrepancy Loss: 0.0389,  Constraint Loss: 0.0052
[06/500] Total Loss: 0.4547, Discrepancy Loss: 0.0364,  Constraint Loss: 0.0042
[07/500] Total Loss: 0.3233, Discrepancy Loss: 0.0437,  Constraint Loss: 0.0028
[08/500] Total Loss: 0.3825, Discrepancy Loss: 0.0488,  Constraint Loss: 0.0033
[09/500] Total Loss: 0.2984, Discrepancy Loss: 0.1142,  Constraint Loss: 0.0018
[10/500] Total Loss: 0.1284, Discrepancy Loss: 0.0282,  Constraint Loss: 0.0010
[11/500] Total Loss: 0.1551, Discrepancy Loss: 0.0232,  Constraint Loss: 0.0013
[12/500] Total Loss: 0.1071, Discrepancy Loss: 0.0210,  Constraint Loss: 0.0009
[13/500] Total Loss: 0.0850, Discrepancy Loss: 0.0207,  Constraint Loss: 0.0006
[14/500] Total Loss: 0.0656, Discrepancy Loss: 0.0165,  Constraint Loss: 0.0005
[15/500] Total Loss: 0.0752, Discrepancy Loss: 0.0168,  Constraint Loss: 0.0006
[16/500] Total Loss: 0.0967, Discrepancy Loss: 0.0546,  Constraint Loss: 0.0004
[17/500] Total Loss: 0.0882, Discrepancy Loss: 0.0455,  Constraint Loss: 0.0004
[18/500] Total Loss: 0.0435, Discrepancy Loss: 0.0199,  Constraint Loss: 0.0002
[19/500] Total Loss: 0.1032, Discrepancy Loss: 0.0297,  Constraint Loss: 0.0007
[20/500] Total Loss: 0.0396, Discrepancy Loss: 0.0222,  Constraint Loss: 0.0002
[21/500] Total Loss: 0.0299, Discrepancy Loss: 0.0168,  Constraint Loss: 0.0001
[22/500] Total Loss: 0.0225, Discrepancy Loss: 0.0136,  Constraint Loss: 0.0001
[23/500] Total Loss: 0.0245, Discrepancy Loss: 0.0153,  Constraint Loss: 0.0001
[24/500] Total Loss: 0.0476, Discrepancy Loss: 0.0323,  Constraint Loss: 0.0002
[25/500] Total Loss: 0.0201, Discrepancy Loss: 0.0130,  Constraint Loss: 0.0001
[26/500] Total Loss: 0.0164, Discrepancy Loss: 0.0113,  Constraint Loss: 0.0001
[27/500] Total Loss: 0.0201, Discrepancy Loss: 0.0139,  Constraint Loss: 0.0001
[28/500] Total Loss: 0.0171, Discrepancy Loss: 0.0123,  Constraint Loss: 0.0000
[29/500] Total Loss: 0.0219, Discrepancy Loss: 0.0159,  Constraint Loss: 0.0001
[30/500] Total Loss: 0.0352, Discrepancy Loss: 0.0197,  Constraint Loss: 0.0002
[31/500] Total Loss: 0.0151, Discrepancy Loss: 0.0104,  Constraint Loss: 0.0000
[32/500] Total Loss: 0.0307, Discrepancy Loss: 0.0119,  Constraint Loss: 0.0002
[33/500] Total Loss: 0.0187, Discrepancy Loss: 0.0114,  Constraint Loss: 0.0001
[34/500] Total Loss: 0.0155, Discrepancy Loss: 0.0111,  Constraint Loss: 0.0000
[35/500] Total Loss: 0.0111, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0000
[36/500] Total Loss: 0.0174, Discrepancy Loss: 0.0115,  Constraint Loss: 0.0001
[37/500] Total Loss: 0.0126, Discrepancy Loss: 0.0087,  Constraint Loss: 0.0000
