[01/600] Total Loss: 0.0340, Discrepancy Loss: 0.0167,  Constraint Loss: 0.0346
[02/600] Total Loss: 0.0183, Discrepancy Loss: 0.0108,  Constraint Loss: 0.0149
[03/600] Total Loss: 0.0188, Discrepancy Loss: 0.0130,  Constraint Loss: 0.0116
[04/600] Total Loss: 0.0120, Discrepancy Loss: 0.0077,  Constraint Loss: 0.0086
[05/600] Total Loss: 0.0130, Discrepancy Loss: 0.0089,  Constraint Loss: 0.0083
[06/600] Total Loss: 0.0067, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0040
[07/600] Total Loss: 0.0117, Discrepancy Loss: 0.0084,  Constraint Loss: 0.0066
[08/600] Total Loss: 0.0074, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0025
[09/600] Total Loss: 0.0060, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0026
[10/600] Total Loss: 0.0055, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0015
[11/600] Total Loss: 0.0055, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0021
[12/600] Total Loss: 0.0033, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0010
[13/600] Total Loss: 0.0042, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0010
[14/600] Total Loss: 0.0037, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0008
[15/600] Total Loss: 0.0052, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0015
[16/600] Total Loss: 0.0040, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0007
[17/600] Total Loss: 0.0029, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0007
[18/600] Total Loss: 0.0032, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0006
[19/600] Total Loss: 0.0029, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0006
[20/600] Total Loss: 0.0040, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0006
[21/600] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0006
[22/600] Total Loss: 0.0020, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0005
[23/600] Total Loss: 0.0031, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0006
[24/600] Total Loss: 0.0047, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0010
[25/600] Total Loss: 0.0035, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0005
[26/600] Total Loss: 0.0038, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0009
[27/600] Total Loss: 0.0031, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0003
[28/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0003
[29/600] Total Loss: 0.0031, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0005
[30/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0003
[31/600] Total Loss: 0.0043, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0005
[32/600] Total Loss: 0.0056, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0003
[33/600] Total Loss: 0.0030, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0003
[34/600] Total Loss: 0.0044, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0005
[35/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0002
[36/600] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0002
[37/600] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0002
[38/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0001
[39/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0002
[40/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0003
[41/600] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0002
[42/600] Total Loss: 0.0034, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[43/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0002
[44/600] Total Loss: 0.0040, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0005
[45/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0002
[46/600] Total Loss: 0.0047, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0007
[47/600] Total Loss: 0.0043, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0003
[48/600] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0001
[49/600] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0002
[50/600] Total Loss: 0.0025, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0004
[51/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0002
[52/600] Total Loss: 0.0041, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0004
[53/600] Total Loss: 0.0035, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0002
[54/600] Total Loss: 0.0030, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0003
[55/600] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0001
[56/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[57/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0001
[58/600] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0001
[59/600] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0001
[60/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0001
[61/600] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0002
[62/600] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[63/600] Total Loss: 0.0037, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0002
[64/600] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0001
[65/600] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0001
[66/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0002
[67/600] Total Loss: 0.0045, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0002
[68/600] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0001
[69/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0001
[70/600] Total Loss: 0.0031, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0002
[71/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0001
[72/600] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0001
[73/600] Total Loss: 0.0034, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0001
[74/600] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0001
[75/600] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0001
