[67/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0020
[68/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0014
[69/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0017
[70/200] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0022
[71/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0014
[72/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0022
[73/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0016
[74/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0020
[75/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0025
[76/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0016
[77/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0018
[78/200] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0020
[79/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0016
[80/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0018
[81/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0019
[82/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0014
[83/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0014
[84/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0018
[85/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0015
[86/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0013
[87/200] Total Loss: 0.0032, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0025
[88/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0023
[89/200] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0019
[90/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0010
[91/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0018
[92/200] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0019
[93/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0009
[94/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
[95/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0016
[96/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0040
