[01/300] Total Loss: 0.0823, Discrepancy Loss: 0.0204,  Constraint Loss: 0.6191
[02/300] Total Loss: 0.0361, Discrepancy Loss: 0.0076,  Constraint Loss: 0.2853
[03/300] Total Loss: 0.0357, Discrepancy Loss: 0.0103,  Constraint Loss: 0.2547
[04/300] Total Loss: 0.0347, Discrepancy Loss: 0.0092,  Constraint Loss: 0.2558
[05/300] Total Loss: 0.0326, Discrepancy Loss: 0.0086,  Constraint Loss: 0.2393
[06/300] Total Loss: 0.0353, Discrepancy Loss: 0.0100,  Constraint Loss: 0.2537
[07/300] Total Loss: 0.0867, Discrepancy Loss: 0.0182,  Constraint Loss: 0.6848
[08/300] Total Loss: 0.0459, Discrepancy Loss: 0.0102,  Constraint Loss: 0.3562
[09/300] Total Loss: 0.0379, Discrepancy Loss: 0.0141,  Constraint Loss: 0.2375
[10/300] Total Loss: 0.0303, Discrepancy Loss: 0.0105,  Constraint Loss: 0.1986
[11/300] Total Loss: 0.0230, Discrepancy Loss: 0.0063,  Constraint Loss: 0.1670
[12/300] Total Loss: 0.0161, Discrepancy Loss: 0.0055,  Constraint Loss: 0.1064
[13/300] Total Loss: 0.0168, Discrepancy Loss: 0.0084,  Constraint Loss: 0.0837
[14/300] Total Loss: 0.0112, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0425
[15/300] Total Loss: 0.0120, Discrepancy Loss: 0.0078,  Constraint Loss: 0.0417
[16/300] Total Loss: 0.0114, Discrepancy Loss: 0.0073,  Constraint Loss: 0.0414
[17/300] Total Loss: 0.0116, Discrepancy Loss: 0.0080,  Constraint Loss: 0.0359
[18/300] Total Loss: 0.0078, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0310
[19/300] Total Loss: 0.0094, Discrepancy Loss: 0.0064,  Constraint Loss: 0.0298
[20/300] Total Loss: 0.0094, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0348
[21/300] Total Loss: 0.0097, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0329
