[01/600] Total Loss: 0.0166, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0430
[02/600] Total Loss: 0.0100, Discrepancy Loss: 0.0069,  Constraint Loss: 0.0122
[03/600] Total Loss: 0.0046, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0043
[04/600] Total Loss: 0.0056, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0022
[05/600] Total Loss: 0.0039, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0012
[06/600] Total Loss: 0.0026, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0010
[07/600] Total Loss: 0.0014, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0005
[08/600] Total Loss: 0.0042, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0010
[09/600] Total Loss: 0.0045, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0008
[10/600] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0005
[11/600] Total Loss: 0.0030, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0005
[12/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0003
[13/600] Total Loss: 0.0027, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0005
[14/600] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0004
[15/600] Total Loss: 0.0033, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0004
[16/600] Total Loss: 0.0035, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0003
[17/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0003
[18/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0003
[19/600] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0003
[20/600] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0003
[21/600] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0003
[22/600] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0004
[23/600] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0002
[24/600] Total Loss: 0.0030, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0003
[25/600] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0002
[26/600] Total Loss: 0.0035, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0003
[27/600] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0002
[28/600] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0002
[29/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0003
[30/600] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0002
[31/600] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0002
[32/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0002
[33/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0002
[34/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0002
[35/600] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0002
[36/600] Total Loss: 0.0033, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0003
[37/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[38/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0002
[39/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0003
[40/600] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0002
[41/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0001
[42/600] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0002
[43/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0002
[44/600] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0001
[45/600] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0003
[46/600] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0002
[47/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0002
[48/600] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0002
[49/600] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0002
[50/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0001
[51/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0001
[52/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0002
[53/600] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0001
[54/600] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0002
[55/600] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0002
[56/600] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0001
[57/600] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0002
[58/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0001
[59/600] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0002
[60/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0001
[61/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[62/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[63/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0002
[64/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0002
[65/600] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0001
[66/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0002
[67/600] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[68/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[69/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0001
[70/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0002
[71/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[72/600] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0001
[73/600] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0002
[74/600] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[75/600] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0002
[76/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0002
[77/600] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0001
[78/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0001
[79/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0002
