[01/100] Total Loss: 0.3346, Discrepancy Loss: 0.0250,  Constraint Loss: 0.1238
[02/100] Total Loss: 0.1535, Discrepancy Loss: 0.0302,  Constraint Loss: 0.0493
[03/100] Total Loss: 0.0618, Discrepancy Loss: 0.0138,  Constraint Loss: 0.0192
[04/100] Total Loss: 0.0384, Discrepancy Loss: 0.0176,  Constraint Loss: 0.0083
[05/100] Total Loss: 0.0561, Discrepancy Loss: 0.0186,  Constraint Loss: 0.0150
[06/100] Total Loss: 0.0349, Discrepancy Loss: 0.0125,  Constraint Loss: 0.0090
[07/100] Total Loss: 0.0180, Discrepancy Loss: 0.0062,  Constraint Loss: 0.0047
[08/100] Total Loss: 0.0114, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0027
[09/100] Total Loss: 0.0160, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0040
[10/100] Total Loss: 0.0200, Discrepancy Loss: 0.0114,  Constraint Loss: 0.0034
[11/100] Total Loss: 0.0122, Discrepancy Loss: 0.0056,  Constraint Loss: 0.0026
[12/100] Total Loss: 0.0106, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0022
[13/100] Total Loss: 0.0114, Discrepancy Loss: 0.0068,  Constraint Loss: 0.0018
[14/100] Total Loss: 0.0167, Discrepancy Loss: 0.0079,  Constraint Loss: 0.0035
[15/100] Total Loss: 0.0086, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0015
[16/100] Total Loss: 0.0116, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0021
[17/100] Total Loss: 0.0053, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0008
[18/100] Total Loss: 0.0066, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0007
[19/100] Total Loss: 0.0106, Discrepancy Loss: 0.0074,  Constraint Loss: 0.0013
[20/100] Total Loss: 0.0165, Discrepancy Loss: 0.0139,  Constraint Loss: 0.0010
[21/100] Total Loss: 0.0066, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0009
[22/100] Total Loss: 0.0049, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0004
[23/100] Total Loss: 0.0064, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0009
[24/100] Total Loss: 0.0068, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0004
[25/100] Total Loss: 0.0041, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0003
[26/100] Total Loss: 0.0123, Discrepancy Loss: 0.0073,  Constraint Loss: 0.0020
[27/100] Total Loss: 0.0066, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0003
[28/100] Total Loss: 0.0068, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0004
[29/100] Total Loss: 0.0046, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0004
[30/100] Total Loss: 0.0043, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0003
[31/100] Total Loss: 0.0051, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0003
[32/100] Total Loss: 0.0033, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0002
[33/100] Total Loss: 0.0048, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0003
[34/100] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0002
[35/100] Total Loss: 0.0039, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0004
[36/100] Total Loss: 0.0054, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0002
[37/100] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0002
[38/100] Total Loss: 0.0036, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[39/100] Total Loss: 0.0031, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0002
[40/100] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[41/100] Total Loss: 0.0066, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0015
[42/100] Total Loss: 0.0032, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0002
[43/100] Total Loss: 0.0058, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0003
[44/100] Total Loss: 0.0030, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0002
[45/100] Total Loss: 0.0035, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0002
[46/100] Total Loss: 0.0032, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0002
[47/100] Total Loss: 0.0029, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0002
[48/100] Total Loss: 0.0051, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0005
[49/100] Total Loss: 0.0023, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0002
[50/100] Total Loss: 0.0041, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0005
[51/100] Total Loss: 0.0021, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0001
[52/100] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0001
[53/100] Total Loss: 0.0028, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0001
[54/100] Total Loss: 0.0039, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[55/100] Total Loss: 0.0018, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0001
