[01/600] Total Loss: 0.0050, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0221
[02/600] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0099
[03/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0087
[04/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0056
[05/600] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0058
[06/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0054
[07/600] Total Loss: 0.0029, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0056
[08/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0049
[09/600] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0040
[10/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0042
[11/600] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0058
[12/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0049
[13/600] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0043
[14/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0046
[15/600] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0032
[16/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0044
[17/600] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0051
[18/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0038
[19/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0036
[20/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0045
[21/600] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0027
[22/600] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0032
[23/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0049
[24/600] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0028
[25/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0058
[26/600] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0034
[27/600] Total Loss: 0.0033, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0046
[28/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0031
[29/600] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0033
[30/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0055
[31/600] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0030
[32/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0042
[33/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0031
[34/600] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0029
[35/600] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0033
[36/600] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0035
[37/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0027
[38/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0037
[39/600] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0030
[40/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0027
[41/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0042
[42/600] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0031
[43/600] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0024
[44/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0032
[45/600] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0024
[46/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0029
[47/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0030
[48/600] Total Loss: 0.0030, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0033
[49/600] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0025
