[01/600] Total Loss: 0.0048, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0288
[02/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0084
[03/600] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0086
[04/600] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0073
[05/600] Total Loss: 0.0036, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0085
[06/600] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0049
[07/600] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0050
[08/600] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0066
[09/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0050
[10/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0052
[11/600] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0041
[12/600] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0046
[13/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0047
[14/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0044
[15/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0040
[16/600] Total Loss: 0.0032, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0048
[17/600] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0047
[18/600] Total Loss: 0.0041, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0063
[19/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0044
[20/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0047
[21/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0040
[22/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0051
[23/600] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0031
[24/600] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0041
[25/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0039
[26/600] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0047
[27/600] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0032
[28/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0039
[29/600] Total Loss: 0.0033, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0044
[30/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0040
[31/600] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0031
[32/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0032
[33/600] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0043
[34/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0033
[35/600] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0038
[36/600] Total Loss: 0.0035, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0045
[37/600] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0025
[38/600] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0026
