[01/300] Total Loss: 0.0525, Discrepancy Loss: 0.0179,  Constraint Loss: 0.3454
[02/300] Total Loss: 0.0275, Discrepancy Loss: 0.0085,  Constraint Loss: 0.1899
[03/300] Total Loss: 0.0128, Discrepancy Loss: 0.0063,  Constraint Loss: 0.0650
[04/300] Total Loss: 0.0086, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0279
[05/300] Total Loss: 0.0102, Discrepancy Loss: 0.0083,  Constraint Loss: 0.0195
[06/300] Total Loss: 0.0050, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0203
[07/300] Total Loss: 0.0051, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0150
[08/300] Total Loss: 0.0081, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0157
[09/300] Total Loss: 0.0065, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0175
[10/300] Total Loss: 0.0044, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0104
[11/300] Total Loss: 0.0096, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0149
[12/300] Total Loss: 0.0035, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0076
[13/300] Total Loss: 0.0045, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0095
[14/300] Total Loss: 0.0038, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0083
[15/300] Total Loss: 0.0040, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0091
[16/300] Total Loss: 0.0034, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0061
[17/300] Total Loss: 0.0043, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0054
[18/300] Total Loss: 0.0036, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0066
[19/300] Total Loss: 0.0044, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0071
[20/300] Total Loss: 0.0039, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0060
[21/300] Total Loss: 0.0038, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0047
[22/300] Total Loss: 0.1617, Discrepancy Loss: 0.1586,  Constraint Loss: 0.0308
[23/300] Total Loss: 0.0047, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0079
[24/300] Total Loss: 0.0056, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0084
[25/300] Total Loss: 0.0039, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0061
[26/300] Total Loss: 0.0037, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0083
[27/300] Total Loss: 0.0026, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0044
[28/300] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0040
[29/300] Total Loss: 0.0027, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0031
[30/300] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0031
[31/300] Total Loss: 0.0023, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0028
[32/300] Total Loss: 0.0035, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0047
[33/300] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0045
[34/300] Total Loss: 0.0035, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0043
[35/300] Total Loss: 0.0025, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0034
[36/300] Total Loss: 0.0040, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0031
[37/300] Total Loss: 0.0054, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0193
[38/300] Total Loss: 0.0034, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0039
[39/300] Total Loss: 0.0025, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0030
[40/300] Total Loss: 0.0021, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0028
[41/300] Total Loss: 0.0080, Discrepancy Loss: 0.0062,  Constraint Loss: 0.0175
[42/300] Total Loss: 0.0024, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0036
[43/300] Total Loss: 0.0031, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0026
[44/300] Total Loss: 0.0029, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0030
[45/300] Total Loss: 0.0028, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0047
[46/300] Total Loss: 0.0050, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0030
[47/300] Total Loss: 0.0027, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0023
[48/300] Total Loss: 0.0033, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0030
[49/300] Total Loss: 0.0035, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0113
[50/300] Total Loss: 0.0027, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0041
[51/300] Total Loss: 0.0024, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0033
[52/300] Total Loss: 0.0056, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0016
[53/300] Total Loss: 0.0033, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0021
[54/300] Total Loss: 0.0073, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0019
[55/300] Total Loss: 0.0036, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0016
[56/100] Total Loss: 0.0037, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0031
[57/100] Total Loss: 0.0040, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0018
[58/100] Total Loss: 0.0028, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0056
[59/100] Total Loss: 0.0021, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0032
[60/100] Total Loss: 0.0024, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0036
[61/100] Total Loss: 0.0021, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0023
[62/100] Total Loss: 0.0023, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0029
[63/100] Total Loss: 0.0033, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0020
[64/100] Total Loss: 0.0277, Discrepancy Loss: 0.0055,  Constraint Loss: 0.2222
[65/100] Total Loss: 0.0118, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0773
[66/100] Total Loss: 0.0091, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0446
[67/100] Total Loss: 0.0124, Discrepancy Loss: 0.0080,  Constraint Loss: 0.0436
[68/100] Total Loss: 0.0067, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0245
[69/100] Total Loss: 0.0161, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0965
[70/100] Total Loss: 0.0075, Discrepancy Loss: 0.0064,  Constraint Loss: 0.0109
