[01/200] Total Loss: 0.0241, Discrepancy Loss: 0.0109,  Constraint Loss: 1.3113
[02/200] Total Loss: 0.0190, Discrepancy Loss: 0.0087,  Constraint Loss: 1.0272
[03/200] Total Loss: 0.0146, Discrepancy Loss: 0.0073,  Constraint Loss: 0.7320
[04/200] Total Loss: 0.0134, Discrepancy Loss: 0.0067,  Constraint Loss: 0.6745
[05/200] Total Loss: 0.0110, Discrepancy Loss: 0.0062,  Constraint Loss: 0.4849
[06/200] Total Loss: 0.0103, Discrepancy Loss: 0.0060,  Constraint Loss: 0.4273
[07/200] Total Loss: 0.0097, Discrepancy Loss: 0.0060,  Constraint Loss: 0.3693
[01/200] Total Loss: 0.0252, Discrepancy Loss: 0.0120,  Constraint Loss: 1.3175
[02/200] Total Loss: 0.0184, Discrepancy Loss: 0.0083,  Constraint Loss: 1.0104
[03/200] Total Loss: 0.0180, Discrepancy Loss: 0.0088,  Constraint Loss: 0.9267
[04/200] Total Loss: 0.0144, Discrepancy Loss: 0.0065,  Constraint Loss: 0.7951
[05/200] Total Loss: 0.0140, Discrepancy Loss: 0.0064,  Constraint Loss: 0.7598
[06/200] Total Loss: 0.0138, Discrepancy Loss: 0.0065,  Constraint Loss: 0.7307
[07/200] Total Loss: 0.0126, Discrepancy Loss: 0.0063,  Constraint Loss: 0.6326
[08/200] Total Loss: 0.0118, Discrepancy Loss: 0.0061,  Constraint Loss: 0.5668
[09/200] Total Loss: 0.0102, Discrepancy Loss: 0.0054,  Constraint Loss: 0.4750
[10/200] Total Loss: 0.0101, Discrepancy Loss: 0.0063,  Constraint Loss: 0.3833
[11/200] Total Loss: 0.0085, Discrepancy Loss: 0.0053,  Constraint Loss: 0.3127
[12/200] Total Loss: 0.0086, Discrepancy Loss: 0.0064,  Constraint Loss: 0.2189
[13/200] Total Loss: 0.0069, Discrepancy Loss: 0.0053,  Constraint Loss: 0.1577
[14/200] Total Loss: 0.0068, Discrepancy Loss: 0.0054,  Constraint Loss: 0.1399
[15/200] Total Loss: 0.0061, Discrepancy Loss: 0.0049,  Constraint Loss: 0.1160
[16/200] Total Loss: 0.0066, Discrepancy Loss: 0.0055,  Constraint Loss: 0.1060
[17/200] Total Loss: 0.0064, Discrepancy Loss: 0.0054,  Constraint Loss: 0.1079
[18/200] Total Loss: 0.0062, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0945
[19/200] Total Loss: 0.0057, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0977
[20/200] Total Loss: 0.0060, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0964
[21/200] Total Loss: 0.0059, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0852
[22/200] Total Loss: 0.0055, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0824
[23/200] Total Loss: 0.0055, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0818
[24/200] Total Loss: 0.0060, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0781
[25/200] Total Loss: 0.0054, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0770
[26/200] Total Loss: 0.0054, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0773
[27/200] Total Loss: 0.0054, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0775
[28/200] Total Loss: 0.0055, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0824
[29/200] Total Loss: 0.0055, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0765
[30/200] Total Loss: 0.0055, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0763
[31/200] Total Loss: 0.0049, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0685
[32/200] Total Loss: 0.0047, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0714
[33/200] Total Loss: 0.0048, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0711
[34/200] Total Loss: 0.0050, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0721
[35/200] Total Loss: 0.0054, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0717
[36/200] Total Loss: 0.0058, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0727
[37/200] Total Loss: 0.0051, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0719
[38/200] Total Loss: 0.0056, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0775
[39/200] Total Loss: 0.0050, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0707
[40/200] Total Loss: 0.0051, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0688
[41/200] Total Loss: 0.0047, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0649
[42/200] Total Loss: 0.0052, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0657
[43/200] Total Loss: 0.0051, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0651
[44/200] Total Loss: 0.0048, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0602
[45/200] Total Loss: 0.0051, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0641
[46/200] Total Loss: 0.0045, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0660
[47/200] Total Loss: 0.0049, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0623
[48/200] Total Loss: 0.0055, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0637
[49/200] Total Loss: 0.0046, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0684
[50/200] Total Loss: 0.0048, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0557
[51/200] Total Loss: 0.0045, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0628
[52/200] Total Loss: 0.0049, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0628
[53/200] Total Loss: 0.0051, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0573
[54/200] Total Loss: 0.0052, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0572
[55/200] Total Loss: 0.0042, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0563
[56/200] Total Loss: 0.0051, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0602
[57/200] Total Loss: 0.0051, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0620
[58/200] Total Loss: 0.0047, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0618
[59/200] Total Loss: 0.0047, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0605
[60/200] Total Loss: 0.0046, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0644
[61/200] Total Loss: 0.0051, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0577
[62/200] Total Loss: 0.0043, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0599
[63/200] Total Loss: 0.0047, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0596
[64/200] Total Loss: 0.0052, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0577
[65/200] Total Loss: 0.0045, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0557
[66/200] Total Loss: 0.0045, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0579
[67/200] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0518
[68/200] Total Loss: 0.0042, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0525
[69/200] Total Loss: 0.0047, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0559
[70/200] Total Loss: 0.0049, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0531
[71/200] Total Loss: 0.0049, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0477
[72/200] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0551
[73/200] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0523
[74/200] Total Loss: 0.0043, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0501
[75/200] Total Loss: 0.0042, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0522
[76/200] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0510
[77/200] Total Loss: 0.0053, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0552
[78/200] Total Loss: 0.0048, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0517
[79/200] Total Loss: 0.0050, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0556
[80/200] Total Loss: 0.0045, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0515
[81/200] Total Loss: 0.0041, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0502
[82/200] Total Loss: 0.0046, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0563
[83/200] Total Loss: 0.0043, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0495
[84/200] Total Loss: 0.0046, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0490
[85/200] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0502
[86/200] Total Loss: 0.0043, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0536
[87/200] Total Loss: 0.0045, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0544
[88/200] Total Loss: 0.0048, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0468
[89/200] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0482
