[01/100] Total Loss: 0.0179, Discrepancy Loss: 0.0095,  Constraint Loss: 0.8391
[02/100] Total Loss: 0.0114, Discrepancy Loss: 0.0036,  Constraint Loss: 0.7777
[03/100] Total Loss: 0.0276, Discrepancy Loss: 0.0147,  Constraint Loss: 1.2861
[04/100] Total Loss: 0.0133, Discrepancy Loss: 0.0084,  Constraint Loss: 0.4872
[05/100] Total Loss: 0.0101, Discrepancy Loss: 0.0071,  Constraint Loss: 0.2968
[06/100] Total Loss: 0.0144, Discrepancy Loss: 0.0116,  Constraint Loss: 0.2737
[07/100] Total Loss: 0.0062, Discrepancy Loss: 0.0046,  Constraint Loss: 0.1515
[08/100] Total Loss: 0.0074, Discrepancy Loss: 0.0064,  Constraint Loss: 0.0952
[09/100] Total Loss: 0.0078, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0675
[10/100] Total Loss: 0.0077, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0630
[11/100] Total Loss: 0.0050, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0516
[12/100] Total Loss: 0.0063, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0479
[13/100] Total Loss: 0.0049, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0625
[14/100] Total Loss: 0.0047, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0431
[15/100] Total Loss: 0.0040, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0374
[16/100] Total Loss: 0.0047, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0485
[17/100] Total Loss: 0.0038, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0422
[18/100] Total Loss: 0.0053, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0312
[19/100] Total Loss: 0.0035, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0394
[20/100] Total Loss: 0.0047, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0351
[21/100] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0398
[22/100] Total Loss: 0.0042, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0386
[23/100] Total Loss: 0.0031, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0317
[24/100] Total Loss: 0.0041, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0414
[25/100] Total Loss: 0.0020, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0341
[26/100] Total Loss: 0.0049, Discrepancy Loss: 0.0039,  Constraint Loss: 0.1004
[27/100] Total Loss: 0.0043, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0758
[28/100] Total Loss: 0.0062, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0724
[29/100] Total Loss: 0.0019, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0648
[30/100] Total Loss: 0.0029, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0545
[31/100] Total Loss: 0.0032, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0554
[32/100] Total Loss: 0.0036, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0543
[33/100] Total Loss: 0.0035, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0484
[34/100] Total Loss: 0.0030, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0451
[35/100] Total Loss: 0.0035, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0538
[36/100] Total Loss: 0.0030, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0381
[37/100] Total Loss: 0.0048, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0559
[38/100] Total Loss: 0.0027, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0452
[39/100] Total Loss: 0.0030, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0337
[40/100] Total Loss: 0.0029, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0379
[41/100] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0391
[42/100] Total Loss: 0.0028, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0468
[43/100] Total Loss: 0.0030, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0459
[44/100] Total Loss: 0.0042, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0348
[45/100] Total Loss: 0.0039, Discrepancy Loss: 0.0028,  Constraint Loss: 0.1155
[01/100] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0084
[01/200] Total Loss: 0.0192, Discrepancy Loss: 0.0106,  Constraint Loss: 0.8549
[02/200] Total Loss: 0.0159, Discrepancy Loss: 0.0088,  Constraint Loss: 0.7133
[03/200] Total Loss: 0.0135, Discrepancy Loss: 0.0073,  Constraint Loss: 0.6109
[04/200] Total Loss: 0.0120, Discrepancy Loss: 0.0065,  Constraint Loss: 0.5543
[05/200] Total Loss: 0.0099, Discrepancy Loss: 0.0060,  Constraint Loss: 0.3958
[06/200] Total Loss: 0.0087, Discrepancy Loss: 0.0059,  Constraint Loss: 0.2846
[07/200] Total Loss: 0.0074, Discrepancy Loss: 0.0055,  Constraint Loss: 0.1882
[08/200] Total Loss: 0.0074, Discrepancy Loss: 0.0059,  Constraint Loss: 0.1482
[09/200] Total Loss: 0.0060, Discrepancy Loss: 0.0050,  Constraint Loss: 0.1047
[10/200] Total Loss: 0.0056, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0692
[11/200] Total Loss: 0.0067, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0912
[12/200] Total Loss: 0.0052, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0725
[13/200] Total Loss: 0.0049, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0592
[14/200] Total Loss: 0.0052, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0564
[15/200] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0460
[16/200] Total Loss: 0.0049, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0465
[17/200] Total Loss: 0.0046, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0377
[18/200] Total Loss: 0.0041, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0369
[19/200] Total Loss: 0.0042, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0355
[20/200] Total Loss: 0.0038, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0322
[21/200] Total Loss: 0.0040, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0305
[22/200] Total Loss: 0.0038, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0343
[23/200] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0467
