[01/400] Total Loss: 9.2474, Discrepancy Loss: 0.0794,  Constraint Loss: 0.1834
[02/400] Total Loss: 3.2441, Discrepancy Loss: 0.0961,  Constraint Loss: 0.0630
[03/400] Total Loss: 1.4480, Discrepancy Loss: 0.0598,  Constraint Loss: 0.0278
[04/400] Total Loss: 0.4887, Discrepancy Loss: 0.0495,  Constraint Loss: 0.0088
[05/400] Total Loss: 0.5082, Discrepancy Loss: 0.0282,  Constraint Loss: 0.0096
[06/400] Total Loss: 0.5607, Discrepancy Loss: 0.1209,  Constraint Loss: 0.0088
[07/400] Total Loss: 0.3746, Discrepancy Loss: 0.0437,  Constraint Loss: 0.0066
[08/400] Total Loss: 0.4563, Discrepancy Loss: 0.0398,  Constraint Loss: 0.0083
[09/400] Total Loss: 0.1528, Discrepancy Loss: 0.0268,  Constraint Loss: 0.0025
[10/400] Total Loss: 0.2156, Discrepancy Loss: 0.0272,  Constraint Loss: 0.0038
[11/400] Total Loss: 0.4631, Discrepancy Loss: 0.1081,  Constraint Loss: 0.0071
[12/400] Total Loss: 0.1089, Discrepancy Loss: 0.0145,  Constraint Loss: 0.0019
[13/400] Total Loss: 0.0840, Discrepancy Loss: 0.0182,  Constraint Loss: 0.0013
[14/400] Total Loss: 0.0522, Discrepancy Loss: 0.0157,  Constraint Loss: 0.0007
[15/400] Total Loss: 0.0426, Discrepancy Loss: 0.0161,  Constraint Loss: 0.0005
[16/400] Total Loss: 0.0256, Discrepancy Loss: 0.0087,  Constraint Loss: 0.0003
[17/400] Total Loss: 0.0266, Discrepancy Loss: 0.0080,  Constraint Loss: 0.0004
[18/400] Total Loss: 0.0184, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0002
[19/400] Total Loss: 0.0148, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0002
[20/400] Total Loss: 0.1612, Discrepancy Loss: 0.0222,  Constraint Loss: 0.0028
[21/400] Total Loss: 0.0402, Discrepancy Loss: 0.0074,  Constraint Loss: 0.0007
[22/400] Total Loss: 0.2002, Discrepancy Loss: 0.1552,  Constraint Loss: 0.0009
[23/400] Total Loss: 0.1336, Discrepancy Loss: 0.0995,  Constraint Loss: 0.0007
[24/400] Total Loss: 0.0145, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0002
[01/400] Total Loss: 82.0599, Discrepancy Loss: 0.0653,  Constraint Loss: 1.6399
[02/400] Total Loss: 38.0945, Discrepancy Loss: 0.2287,  Constraint Loss: 0.7573
[03/400] Total Loss: 13.4953, Discrepancy Loss: 0.0816,  Constraint Loss: 0.2683
[04/400] Total Loss: 6.7380, Discrepancy Loss: 0.0525,  Constraint Loss: 0.1337
[05/400] Total Loss: 2.7690, Discrepancy Loss: 0.0475,  Constraint Loss: 0.0544
[06/400] Total Loss: 1.6364, Discrepancy Loss: 0.0561,  Constraint Loss: 0.0316
[07/400] Total Loss: 0.8785, Discrepancy Loss: 0.0582,  Constraint Loss: 0.0164
[08/400] Total Loss: 0.6467, Discrepancy Loss: 0.0611,  Constraint Loss: 0.0117
