[01/600] Total Loss: 0.0194, Discrepancy Loss: 0.0102,  Constraint Loss: 0.9276
[02/600] Total Loss: 0.0088, Discrepancy Loss: 0.0043,  Constraint Loss: 0.4552
[03/600] Total Loss: 0.0131, Discrepancy Loss: 0.0096,  Constraint Loss: 0.3459
[04/600] Total Loss: 0.0075, Discrepancy Loss: 0.0047,  Constraint Loss: 0.2750
[05/600] Total Loss: 0.0087, Discrepancy Loss: 0.0067,  Constraint Loss: 0.1951
[06/600] Total Loss: 0.0054, Discrepancy Loss: 0.0039,  Constraint Loss: 0.1462
[07/600] Total Loss: 0.0064, Discrepancy Loss: 0.0051,  Constraint Loss: 0.1268
[08/600] Total Loss: 0.0037, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0737
[09/600] Total Loss: 0.0051, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0872
[10/600] Total Loss: 0.0028, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0650
[11/600] Total Loss: 0.0034, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0610
[12/600] Total Loss: 0.0034, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0679
[13/600] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0433
[14/600] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0487
[15/600] Total Loss: 0.0026, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0357
[16/600] Total Loss: 0.0039, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0461
[17/600] Total Loss: 0.0040, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0460
[18/600] Total Loss: 0.0056, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0614
[19/600] Total Loss: 0.0036, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0469
[20/600] Total Loss: 0.0130, Discrepancy Loss: 0.0124,  Constraint Loss: 0.0558
[21/600] Total Loss: 0.0027, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0541
[22/600] Total Loss: 0.0029, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0390
[23/600] Total Loss: 0.0029, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0384
[24/600] Total Loss: 0.0022, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0541
[25/600] Total Loss: 0.0027, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0480
[26/600] Total Loss: 0.0024, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0320
[27/600] Total Loss: 0.0068, Discrepancy Loss: 0.0062,  Constraint Loss: 0.0544
[28/600] Total Loss: 0.0034, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0425
[29/600] Total Loss: 0.0032, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0446
[30/600] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0365
[31/600] Total Loss: 0.0028, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0371
[32/600] Total Loss: 0.0035, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0519
[33/600] Total Loss: 0.0034, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0288
[34/600] Total Loss: 0.0026, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0321
[35/600] Total Loss: 0.0020, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0385
[36/600] Total Loss: 0.0017, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0270
[37/600] Total Loss: 0.0025, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0337
[38/600] Total Loss: 0.0021, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0326
[39/600] Total Loss: 0.0029, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0421
[40/600] Total Loss: 0.0033, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0358
[41/600] Total Loss: 0.0036, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0278
[42/600] Total Loss: 0.0033, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0316
[43/600] Total Loss: 0.0024, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0269
[44/600] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0330
[45/600] Total Loss: 0.0025, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0283
[46/600] Total Loss: 0.0018, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0230
[47/600] Total Loss: 0.0022, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0260
[48/600] Total Loss: 0.0034, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0297
[49/600] Total Loss: 0.0037, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0292
[50/600] Total Loss: 0.0038, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0247
[51/600] Total Loss: 0.0025, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0275
[52/600] Total Loss: 0.0043, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0329
[53/600] Total Loss: 0.0054, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0398
[54/600] Total Loss: 0.0028, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0272
[55/600] Total Loss: 0.0025, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0257
[56/600] Total Loss: 0.0034, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0300
[57/600] Total Loss: 0.0036, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0292
[58/600] Total Loss: 0.0021, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0197
[59/600] Total Loss: 0.0046, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0292
[60/600] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0312
[61/600] Total Loss: 0.0028, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0268
[62/600] Total Loss: 0.0026, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0206
[63/600] Total Loss: 0.0022, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0212
[64/600] Total Loss: 0.0029, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0266
[65/600] Total Loss: 0.0019, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0210
[66/600] Total Loss: 0.0015, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0189
[67/600] Total Loss: 0.0027, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0252
[68/600] Total Loss: 0.0023, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0247
[69/600] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0145
[70/600] Total Loss: 0.0020, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0234
[71/600] Total Loss: 0.0053, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0217
[72/600] Total Loss: 0.0019, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0205
[73/600] Total Loss: 0.0036, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0188
[74/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0153
[75/600] Total Loss: 0.0027, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0206
[76/600] Total Loss: 0.0024, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0163
[77/600] Total Loss: 0.0027, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0176
[78/600] Total Loss: 0.0024, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0226
[79/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0128
[80/600] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0142
[81/600] Total Loss: 0.0023, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0264
[82/600] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0222
[83/600] Total Loss: 0.0025, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0188
[84/600] Total Loss: 0.0026, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0194
[85/600] Total Loss: 0.0027, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0187
[86/600] Total Loss: 0.0026, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0158
