[01/500] Total Loss: 45.7565, Discrepancy Loss: 0.1818,  Constraint Loss: 4.5575
[02/500] Total Loss: 0.5568, Discrepancy Loss: 0.0409,  Constraint Loss: 0.0516
[03/500] Total Loss: 0.2540, Discrepancy Loss: 0.0190,  Constraint Loss: 0.0235
[04/500] Total Loss: 0.1639, Discrepancy Loss: 0.0224,  Constraint Loss: 0.0142
[05/500] Total Loss: 0.0998, Discrepancy Loss: 0.0157,  Constraint Loss: 0.0084
[06/500] Total Loss: 0.0483, Discrepancy Loss: 0.0090,  Constraint Loss: 0.0039
[07/500] Total Loss: 0.0396, Discrepancy Loss: 0.0123,  Constraint Loss: 0.0027
[08/500] Total Loss: 0.0497, Discrepancy Loss: 0.0274,  Constraint Loss: 0.0022
[09/500] Total Loss: 0.0176, Discrepancy Loss: 0.0068,  Constraint Loss: 0.0011
[10/500] Total Loss: 0.0343, Discrepancy Loss: 0.0104,  Constraint Loss: 0.0024
[11/500] Total Loss: 0.0204, Discrepancy Loss: 0.0093,  Constraint Loss: 0.0011
[12/500] Total Loss: 0.0288, Discrepancy Loss: 0.0159,  Constraint Loss: 0.0013
[13/500] Total Loss: 0.0146, Discrepancy Loss: 0.0080,  Constraint Loss: 0.0007
[14/500] Total Loss: 0.0148, Discrepancy Loss: 0.0094,  Constraint Loss: 0.0005
[15/500] Total Loss: 0.0116, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0005
[16/500] Total Loss: 0.0099, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0003
[17/500] Total Loss: 0.0546, Discrepancy Loss: 0.0181,  Constraint Loss: 0.0036
[18/500] Total Loss: 0.0288, Discrepancy Loss: 0.0095,  Constraint Loss: 0.0019
[19/500] Total Loss: 0.0190, Discrepancy Loss: 0.0096,  Constraint Loss: 0.0009
[20/500] Total Loss: 0.0192, Discrepancy Loss: 0.0125,  Constraint Loss: 0.0007
[21/500] Total Loss: 0.0086, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0004
[22/500] Total Loss: 0.0053, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0002
[23/500] Total Loss: 0.0045, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0002
[24/500] Total Loss: 0.0053, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0001
[25/500] Total Loss: 0.0043, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[26/500] Total Loss: 0.0053, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0001
[27/500] Total Loss: 0.0048, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0001
[28/500] Total Loss: 0.0040, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0001
[29/500] Total Loss: 0.0036, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0001
[30/500] Total Loss: 0.0053, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0000
[31/500] Total Loss: 0.0120, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0007
[32/500] Total Loss: 0.0024, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[33/500] Total Loss: 0.0023, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[34/500] Total Loss: 0.0031, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0000
[35/500] Total Loss: 0.0021, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[36/500] Total Loss: 0.0048, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0000
[37/500] Total Loss: 0.0213, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0016
