[01/200] Total Loss: 3.7483, Discrepancy Loss: 0.0297,  Constraint Loss: 0.3099
[02/200] Total Loss: 1.3588, Discrepancy Loss: 0.0307,  Constraint Loss: 0.1107
[03/200] Total Loss: 0.7713, Discrepancy Loss: 0.0376,  Constraint Loss: 0.0611
[04/200] Total Loss: 2.5662, Discrepancy Loss: 0.0400,  Constraint Loss: 0.2105
[05/200] Total Loss: 0.2436, Discrepancy Loss: 0.0124,  Constraint Loss: 0.0193
[06/200] Total Loss: 0.1489, Discrepancy Loss: 0.0137,  Constraint Loss: 0.0113
[07/200] Total Loss: 0.1168, Discrepancy Loss: 0.0108,  Constraint Loss: 0.0088
[08/200] Total Loss: 0.1299, Discrepancy Loss: 0.0155,  Constraint Loss: 0.0095
[09/200] Total Loss: 0.0850, Discrepancy Loss: 0.0186,  Constraint Loss: 0.0055
[10/200] Total Loss: 0.0617, Discrepancy Loss: 0.0091,  Constraint Loss: 0.0044
[11/200] Total Loss: 0.2135, Discrepancy Loss: 0.0324,  Constraint Loss: 0.0151
[12/200] Total Loss: 0.0557, Discrepancy Loss: 0.0130,  Constraint Loss: 0.0036
[13/200] Total Loss: 0.0761, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0059
[14/200] Total Loss: 0.2997, Discrepancy Loss: 0.0159,  Constraint Loss: 0.0236
[15/200] Total Loss: 0.0591, Discrepancy Loss: 0.0149,  Constraint Loss: 0.0037
[16/200] Total Loss: 0.0344, Discrepancy Loss: 0.0124,  Constraint Loss: 0.0018
[17/200] Total Loss: 0.5807, Discrepancy Loss: 0.0895,  Constraint Loss: 0.0409
[18/200] Total Loss: 0.0142, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0008
[19/200] Total Loss: 0.0299, Discrepancy Loss: 0.0128,  Constraint Loss: 0.0014
[20/200] Total Loss: 0.0129, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0005
[21/200] Total Loss: 0.0143, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0005
[22/200] Total Loss: 0.5514, Discrepancy Loss: 0.0238,  Constraint Loss: 0.0440
[23/200] Total Loss: 0.0168, Discrepancy Loss: 0.0106,  Constraint Loss: 0.0005
[24/200] Total Loss: 0.0223, Discrepancy Loss: 0.0130,  Constraint Loss: 0.0008
[25/200] Total Loss: 0.0130, Discrepancy Loss: 0.0092,  Constraint Loss: 0.0003
[26/200] Total Loss: 0.0079, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0003
[27/200] Total Loss: 0.0208, Discrepancy Loss: 0.0119,  Constraint Loss: 0.0007
[28/200] Total Loss: 0.0163, Discrepancy Loss: 0.0135,  Constraint Loss: 0.0002
