[01/1200] Total Loss: 24.5133, Discrepancy Loss: 0.0307,  Constraint Loss: 2.0402
[02/1200] Total Loss: 15.3478, Discrepancy Loss: 0.0272,  Constraint Loss: 1.2767
[03/1200] Total Loss: 6.4379, Discrepancy Loss: 0.0456,  Constraint Loss: 0.5327
[04/1200] Total Loss: 5.5314, Discrepancy Loss: 0.0277,  Constraint Loss: 0.4586
[05/1200] Total Loss: 4.1327, Discrepancy Loss: 0.0160,  Constraint Loss: 0.3431
[06/1200] Total Loss: 6.2742, Discrepancy Loss: 0.0361,  Constraint Loss: 0.5198
[07/1200] Total Loss: 1.5969, Discrepancy Loss: 0.0160,  Constraint Loss: 0.1317
[08/1200] Total Loss: 1.6459, Discrepancy Loss: 0.0089,  Constraint Loss: 0.1364
[09/1200] Total Loss: 0.5438, Discrepancy Loss: 0.0221,  Constraint Loss: 0.0435
[10/1200] Total Loss: 1.0030, Discrepancy Loss: 0.0344,  Constraint Loss: 0.0807
[11/1200] Total Loss: 0.5119, Discrepancy Loss: 0.0283,  Constraint Loss: 0.0403
[12/1200] Total Loss: 0.4308, Discrepancy Loss: 0.0162,  Constraint Loss: 0.0345
[13/1200] Total Loss: 0.2553, Discrepancy Loss: 0.0122,  Constraint Loss: 0.0203
[14/1200] Total Loss: 0.3390, Discrepancy Loss: 0.0123,  Constraint Loss: 0.0272
[15/1200] Total Loss: 0.4005, Discrepancy Loss: 0.0111,  Constraint Loss: 0.0325
[16/1200] Total Loss: 1.2201, Discrepancy Loss: 0.0105,  Constraint Loss: 0.1008
[17/1200] Total Loss: 1.0140, Discrepancy Loss: 0.0226,  Constraint Loss: 0.0826
[18/1200] Total Loss: 0.5521, Discrepancy Loss: 0.0092,  Constraint Loss: 0.0452
[19/1200] Total Loss: 0.3978, Discrepancy Loss: 0.0072,  Constraint Loss: 0.0325
[20/1200] Total Loss: 1.0680, Discrepancy Loss: 0.0113,  Constraint Loss: 0.0881
[21/1200] Total Loss: 0.3760, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0307
[22/1200] Total Loss: 62.0394, Discrepancy Loss: 0.0213,  Constraint Loss: 5.1682
[23/1200] Total Loss: 18.3744, Discrepancy Loss: 0.0144,  Constraint Loss: 1.5300
