[01/300] Total Loss: 0.0048, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0191
[02/300] Total Loss: 0.0037, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0086
[03/300] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0038
[04/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0029
[05/300] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0028
[06/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0036
[07/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0023
[08/300] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0033
[09/300] Total Loss: 0.0039, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0040
[10/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0034
[11/300] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0021
[01/300] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0098
[02/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0046
[03/300] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0034
[04/300] Total Loss: 0.0031, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0038
[05/300] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0029
[06/300] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0042
[07/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0022
[08/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0023
[09/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0028
[10/300] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0029
[11/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0020
[12/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0020
[13/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0026
[14/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0027
[15/300] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0025
[16/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0022
[17/300] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0033
[18/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0033
[19/300] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0033
[20/300] Total Loss: 0.0043, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0036
[21/300] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0029
[22/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0034
[23/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0033
[24/300] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0030
[25/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0024
[26/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0023
[27/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0029
[28/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0025
[29/300] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0043
[30/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0028
[31/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0022
[32/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0029
[33/300] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0024
[34/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0022
[35/300] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0031
[36/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0023
[37/300] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0025
[38/300] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0031
[39/300] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0029
[40/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0030
[41/300] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0026
[42/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0025
[43/300] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0021
[44/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0021
[45/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0021
[46/300] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0025
[47/300] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0023
[48/300] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0021
[49/300] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0023
[50/300] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0025
[51/300] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0026
[52/300] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0019
[53/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0024
[54/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0020
[55/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0019
[56/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0023
[57/300] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0016
[58/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0021
[59/300] Total Loss: 0.0030, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0026
[60/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0019
[61/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0017
[62/300] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0018
[63/300] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0020
[64/300] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0016
[65/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0019
[66/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0022
[67/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0019
[68/300] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0020
[69/300] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0020
[70/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0020
[71/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0020
[72/300] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0012
[73/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0018
[74/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0020
[75/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0020
[76/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0015
[77/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0024
[78/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0018
[79/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0019
[80/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[81/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0011
[82/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0017
[83/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0020
[84/300] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0024
[85/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
[86/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0017
[87/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0017
[88/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0015
[89/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0018
[90/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0016
[91/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0012
[92/300] Total Loss: 0.0027, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0017
[93/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0014
[94/300] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0011
[95/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0018
[96/300] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0014
[97/300] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0016
[98/300] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0012
[99/300] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0015
[100/300] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0018
[101/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0016
[102/300] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0016
[103/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0016
[104/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0013
[105/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0012
[106/300] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0019
[107/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0014
[108/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0015
[109/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0019
[110/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0016
[111/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0012
[112/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0015
[113/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0016
[114/300] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0020
[115/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0013
[116/300] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0016
[117/300] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0012
[118/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0012
[119/300] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0009
[120/300] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0012
[121/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0014
[122/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0011
[123/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0014
[124/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0010
[125/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
[126/300] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0008
[127/300] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0012
[128/300] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0016
[129/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0012
[130/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0011
[131/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0014
[132/300] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0013
[133/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[134/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0012
[135/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[136/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0012
[137/300] Total Loss: 0.0017, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0020
[138/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[139/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0014
[140/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0016
[141/300] Total Loss: 0.0034, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0017
[142/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0011
[143/300] Total Loss: 0.0033, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0016
[144/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0015
[145/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0013
[146/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0014
[147/300] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0009
[148/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0019
[149/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[150/300] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0037
[151/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0009
[152/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0028
[153/300] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0009
[154/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0011
[155/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[156/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0013
[157/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0012
[158/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0011
[159/300] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0017
[160/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0019
[161/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0012
[162/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0010
[163/300] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0019
[164/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0010
[165/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0009
[166/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0010
[167/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0011
[168/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0011
[169/300] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0016
[170/300] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0014
[171/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0011
[172/300] Total Loss: 0.0035, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0013
[173/300] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0015
[174/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0012
[175/300] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0012
[176/300] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0012
[177/300] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0014
[178/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[179/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0010
[180/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0012
[181/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0018
[182/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0013
[183/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[184/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0012
[185/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0014
[186/300] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0007
[187/300] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0013
[188/300] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0009
[189/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[190/300] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0011
[191/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0012
[192/300] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0009
[193/300] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[194/300] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0010
[195/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0013
[196/300] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0009
[197/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0011
[198/300] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0021
[199/300] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0014
[200/300] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0008
[201/300] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0011
[202/300] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0008
[203/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0011
[204/300] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0010
[205/300] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0011
[206/300] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0011
[207/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0012
[208/300] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0013
[209/300] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0011
[210/300] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0012
[211/300] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0009
