[01/600] Total Loss: 0.0037, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0087
[02/600] Total Loss: 0.0044, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0045
[03/600] Total Loss: 0.0027, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0031
[04/600] Total Loss: 0.0036, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0027
[05/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0019
[06/600] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0016
[07/600] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0022
[08/600] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0029
[09/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0021
[10/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0027
[11/600] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0021
[12/600] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0023
[13/600] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0024
[14/600] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0021
[15/600] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0031
[16/600] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0030
[17/600] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0034
[18/600] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0024
[19/600] Total Loss: 0.0035, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0028
[20/600] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0029
[21/600] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0035
[22/600] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0029
[23/600] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0025
[24/600] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0034
[25/600] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0031
[26/600] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0029
