[01/100] Total Loss: 1.3289, Discrepancy Loss: 0.0340,  Constraint Loss: 0.1726
[02/100] Total Loss: 0.2560, Discrepancy Loss: 0.0208,  Constraint Loss: 0.0314
[03/100] Total Loss: 0.1307, Discrepancy Loss: 0.0193,  Constraint Loss: 0.0149
[04/100] Total Loss: 0.0750, Discrepancy Loss: 0.0142,  Constraint Loss: 0.0081
[05/100] Total Loss: 0.0523, Discrepancy Loss: 0.0139,  Constraint Loss: 0.0051
[06/100] Total Loss: 0.0436, Discrepancy Loss: 0.0155,  Constraint Loss: 0.0038
[07/100] Total Loss: 0.0288, Discrepancy Loss: 0.0092,  Constraint Loss: 0.0026
[08/100] Total Loss: 0.0321, Discrepancy Loss: 0.0141,  Constraint Loss: 0.0024
[09/100] Total Loss: 0.0185, Discrepancy Loss: 0.0074,  Constraint Loss: 0.0015
[10/100] Total Loss: 0.0112, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0008
[11/100] Total Loss: 0.0177, Discrepancy Loss: 0.0106,  Constraint Loss: 0.0009
[12/100] Total Loss: 0.0106, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0007
[13/100] Total Loss: 0.0106, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0008
[14/100] Total Loss: 0.0087, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0005
[15/100] Total Loss: 0.0078, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0005
[16/100] Total Loss: 0.0072, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0004
[17/100] Total Loss: 0.0092, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0007
[18/100] Total Loss: 0.0052, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0003
[19/100] Total Loss: 0.0129, Discrepancy Loss: 0.0085,  Constraint Loss: 0.0006
[20/100] Total Loss: 0.0087, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0004
[21/100] Total Loss: 0.0145, Discrepancy Loss: 0.0106,  Constraint Loss: 0.0005
[22/100] Total Loss: 0.0066, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0004
[23/100] Total Loss: 0.0047, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0002
[24/100] Total Loss: 0.0050, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0002
[25/100] Total Loss: 0.0135, Discrepancy Loss: 0.0078,  Constraint Loss: 0.0008
[26/100] Total Loss: 0.0040, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0001
[27/100] Total Loss: 0.0036, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0001
[28/100] Total Loss: 0.0057, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0002
[29/100] Total Loss: 0.0045, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[30/100] Total Loss: 0.0036, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0001
[31/100] Total Loss: 0.0050, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[32/100] Total Loss: 0.0040, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[33/100] Total Loss: 0.0078, Discrepancy Loss: 0.0069,  Constraint Loss: 0.0001
[34/100] Total Loss: 0.0190, Discrepancy Loss: 0.0097,  Constraint Loss: 0.0012
[35/100] Total Loss: 0.0026, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0001
[36/100] Total Loss: 0.0047, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0003
[37/100] Total Loss: 0.0029, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0001
[38/100] Total Loss: 0.0075, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0003
[39/100] Total Loss: 0.0051, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0001
[40/100] Total Loss: 0.0072, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0005
[41/100] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0001
[42/100] Total Loss: 0.0029, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[43/100] Total Loss: 0.0041, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0001
[44/100] Total Loss: 0.0055, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0002
[45/100] Total Loss: 0.0043, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0001
[46/100] Total Loss: 0.0027, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[47/100] Total Loss: 0.0043, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0001
[48/100] Total Loss: 0.0101, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0006
[49/100] Total Loss: 0.0034, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0000
[50/100] Total Loss: 0.0026, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[51/100] Total Loss: 0.0076, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0004
[52/100] Total Loss: 0.0043, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0000
[53/100] Total Loss: 0.0054, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0000
[54/100] Total Loss: 0.0027, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[55/100] Total Loss: 0.0068, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0001
[56/100] Total Loss: 0.0046, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0003
[57/100] Total Loss: 0.0029, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0000
[58/100] Total Loss: 0.0037, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0000
[59/100] Total Loss: 0.0021, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[60/100] Total Loss: 0.0040, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0000
[61/100] Total Loss: 0.0067, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0003
[62/100] Total Loss: 0.0067, Discrepancy Loss: 0.0062,  Constraint Loss: 0.0001
[63/100] Total Loss: 0.0028, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0000
[64/100] Total Loss: 0.0025, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0000
[65/100] Total Loss: 0.0042, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0000
[66/100] Total Loss: 0.0049, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0001
[67/100] Total Loss: 0.0035, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0000
[68/100] Total Loss: 0.0025, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0000
[69/100] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[70/100] Total Loss: 0.0034, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0000
[71/100] Total Loss: 0.0033, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0000
[72/100] Total Loss: 0.0023, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
