[01/600] Total Loss: 0.0220, Discrepancy Loss: 0.0164,  Constraint Loss: 0.0560
[02/600] Total Loss: 0.0119, Discrepancy Loss: 0.0089,  Constraint Loss: 0.0294
[03/600] Total Loss: 0.0059, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0172
[04/600] Total Loss: 0.0070, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0164
[05/600] Total Loss: 0.0058, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0138
[06/600] Total Loss: 0.0058, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0083
[07/600] Total Loss: 0.0027, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0076
[08/600] Total Loss: 0.0030, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0068
[09/600] Total Loss: 0.0052, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0088
[10/600] Total Loss: 0.0047, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0060
[11/600] Total Loss: 0.0022, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0054
[12/600] Total Loss: 0.0048, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0052
[13/600] Total Loss: 0.0030, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0052
[14/600] Total Loss: 0.0061, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0061
[15/600] Total Loss: 0.0031, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0043
[16/600] Total Loss: 0.0031, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0057
[17/600] Total Loss: 0.0018, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0037
[18/600] Total Loss: 0.0037, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0042
[19/600] Total Loss: 0.0036, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0040
[20/600] Total Loss: 0.0024, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0036
[21/600] Total Loss: 0.0022, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0036
[22/600] Total Loss: 0.0038, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0040
[23/600] Total Loss: 0.0075, Discrepancy Loss: 0.0065,  Constraint Loss: 0.0096
[24/600] Total Loss: 0.0029, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0046
[25/600] Total Loss: 0.0030, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0046
[26/600] Total Loss: 0.0054, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0061
[27/600] Total Loss: 0.0045, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0046
[28/600] Total Loss: 0.0025, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0030
[29/600] Total Loss: 0.0029, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0038
[30/600] Total Loss: 0.0032, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0034
[31/600] Total Loss: 0.0020, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0033
[32/600] Total Loss: 0.0041, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0037
[33/600] Total Loss: 0.0036, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0050
