[01/600] Total Loss: 0.0137, Discrepancy Loss: 0.0088,  Constraint Loss: 0.1990
[02/600] Total Loss: 0.0103, Discrepancy Loss: 0.0061,  Constraint Loss: 0.1670
[03/600] Total Loss: 0.0066, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0640
[04/600] Total Loss: 0.0050, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0593
[05/600] Total Loss: 0.0069, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0458
[06/600] Total Loss: 0.0044, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0482
[07/600] Total Loss: 0.0078, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0786
[08/600] Total Loss: 0.0054, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0312
[09/600] Total Loss: 0.0036, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0334
[10/600] Total Loss: 0.0057, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0352
[11/600] Total Loss: 0.0044, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0301
[12/600] Total Loss: 0.0035, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0204
[13/600] Total Loss: 0.0046, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0285
[14/600] Total Loss: 0.0035, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0236
[15/600] Total Loss: 0.0038, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0252
[16/600] Total Loss: 0.0054, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0244
[17/600] Total Loss: 0.0048, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0250
[18/600] Total Loss: 0.0035, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0205
[19/600] Total Loss: 0.0046, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0245
[20/600] Total Loss: 0.0041, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0234
[21/600] Total Loss: 0.0041, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0234
[22/600] Total Loss: 0.0041, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0201
[23/600] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0214
[24/600] Total Loss: 0.0026, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0157
[25/600] Total Loss: 0.0049, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0198
[26/600] Total Loss: 0.0039, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0191
[27/600] Total Loss: 0.0034, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0178
[28/600] Total Loss: 0.0032, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0151
[29/600] Total Loss: 0.0039, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0180
[30/600] Total Loss: 0.0038, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0186
