[01/200] Total Loss: 1.2867, Discrepancy Loss: 0.0253,  Constraint Loss: 1.2614
[02/200] Total Loss: 0.6989, Discrepancy Loss: 0.0227,  Constraint Loss: 0.6763
[03/200] Total Loss: 0.6477, Discrepancy Loss: 0.0284,  Constraint Loss: 0.6194
[04/200] Total Loss: 0.3708, Discrepancy Loss: 0.0138,  Constraint Loss: 0.3569
[05/200] Total Loss: 0.0557, Discrepancy Loss: 0.0095,  Constraint Loss: 0.0462
[06/200] Total Loss: 0.0448, Discrepancy Loss: 0.0115,  Constraint Loss: 0.0333
[07/200] Total Loss: 0.0320, Discrepancy Loss: 0.0088,  Constraint Loss: 0.0232
[08/200] Total Loss: 0.0292, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0222
[09/200] Total Loss: 0.0402, Discrepancy Loss: 0.0147,  Constraint Loss: 0.0255
[10/200] Total Loss: 0.0314, Discrepancy Loss: 0.0105,  Constraint Loss: 0.0209
[11/200] Total Loss: 0.0220, Discrepancy Loss: 0.0091,  Constraint Loss: 0.0129
[12/200] Total Loss: 0.0278, Discrepancy Loss: 0.0111,  Constraint Loss: 0.0167
[13/200] Total Loss: 0.0300, Discrepancy Loss: 0.0120,  Constraint Loss: 0.0180
[14/200] Total Loss: 0.0181, Discrepancy Loss: 0.0072,  Constraint Loss: 0.0110
[15/200] Total Loss: 0.0173, Discrepancy Loss: 0.0063,  Constraint Loss: 0.0110
[16/200] Total Loss: 0.0177, Discrepancy Loss: 0.0074,  Constraint Loss: 0.0104
[17/200] Total Loss: 0.0359, Discrepancy Loss: 0.0171,  Constraint Loss: 0.0187
[18/200] Total Loss: 0.0200, Discrepancy Loss: 0.0068,  Constraint Loss: 0.0132
[19/200] Total Loss: 0.0159, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0100
[20/200] Total Loss: 0.0452, Discrepancy Loss: 0.0227,  Constraint Loss: 0.0226
[21/200] Total Loss: 0.0147, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0077
[22/200] Total Loss: 0.0169, Discrepancy Loss: 0.0095,  Constraint Loss: 0.0074
[23/200] Total Loss: 0.0170, Discrepancy Loss: 0.0086,  Constraint Loss: 0.0084
[24/200] Total Loss: 0.1460, Discrepancy Loss: 0.0325,  Constraint Loss: 0.1135
