[01/500] Total Loss: 1.1764, Discrepancy Loss: 0.0343,  Constraint Loss: 0.0571
[02/500] Total Loss: 0.4193, Discrepancy Loss: 0.0204,  Constraint Loss: 0.0199
[03/500] Total Loss: 0.3943, Discrepancy Loss: 0.0280,  Constraint Loss: 0.0183
[04/500] Total Loss: 0.2047, Discrepancy Loss: 0.0148,  Constraint Loss: 0.0095
[05/500] Total Loss: 0.1641, Discrepancy Loss: 0.0231,  Constraint Loss: 0.0071
[06/500] Total Loss: 0.0724, Discrepancy Loss: 0.0135,  Constraint Loss: 0.0029
[07/500] Total Loss: 0.0378, Discrepancy Loss: 0.0088,  Constraint Loss: 0.0015
[08/500] Total Loss: 0.0298, Discrepancy Loss: 0.0106,  Constraint Loss: 0.0010
[09/500] Total Loss: 0.0267, Discrepancy Loss: 0.0109,  Constraint Loss: 0.0008
[10/500] Total Loss: 0.0199, Discrepancy Loss: 0.0110,  Constraint Loss: 0.0004
[11/500] Total Loss: 0.0127, Discrepancy Loss: 0.0064,  Constraint Loss: 0.0003
[12/500] Total Loss: 0.0114, Discrepancy Loss: 0.0066,  Constraint Loss: 0.0002
[13/500] Total Loss: 0.0093, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0002
[14/500] Total Loss: 0.0117, Discrepancy Loss: 0.0093,  Constraint Loss: 0.0001
[15/500] Total Loss: 0.0345, Discrepancy Loss: 0.0274,  Constraint Loss: 0.0004
[16/500] Total Loss: 0.0141, Discrepancy Loss: 0.0122,  Constraint Loss: 0.0001
[17/500] Total Loss: 0.0063, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0001
[18/500] Total Loss: 0.0073, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0001
[19/500] Total Loss: 0.0059, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0000
[20/500] Total Loss: 0.0070, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0000
[21/500] Total Loss: 0.0060, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0000
[22/500] Total Loss: 0.0073, Discrepancy Loss: 0.0066,  Constraint Loss: 0.0000
[23/500] Total Loss: 0.0055, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0000
[24/500] Total Loss: 0.0048, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0000
[25/500] Total Loss: 0.0047, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0000
[26/500] Total Loss: 0.0056, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0000
[27/500] Total Loss: 0.0043, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0000
[28/500] Total Loss: 0.0053, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0000
[29/500] Total Loss: 0.0054, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0000
[30/500] Total Loss: 0.0094, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0001
[31/500] Total Loss: 0.0059, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0000
[32/500] Total Loss: 0.0048, Discrepancy Loss: 0.0044,  Constraint Loss: 0.0000
[33/500] Total Loss: 0.0058, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0000
[34/500] Total Loss: 0.0069, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0001
[35/500] Total Loss: 0.0056, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0000
[36/500] Total Loss: 0.0057, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0000
[37/500] Total Loss: 0.0037, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0000
[38/500] Total Loss: 0.0058, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0001
[39/500] Total Loss: 0.0132, Discrepancy Loss: 0.0073,  Constraint Loss: 0.0003
[40/500] Total Loss: 0.0067, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0001
[41/500] Total Loss: 0.0056, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0000
[42/500] Total Loss: 0.0039, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0000
[43/500] Total Loss: 0.0043, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0000
[44/500] Total Loss: 0.0042, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0000
[45/500] Total Loss: 0.0032, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0000
[46/500] Total Loss: 0.0060, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0001
[47/500] Total Loss: 0.0043, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0000
[48/500] Total Loss: 0.0039, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0000
[49/500] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0000
[50/500] Total Loss: 0.0043, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0000
[51/500] Total Loss: 0.0028, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[52/500] Total Loss: 0.0095, Discrepancy Loss: 0.0075,  Constraint Loss: 0.0001
[53/500] Total Loss: 0.0040, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0001
[54/500] Total Loss: 0.0058, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0000
