[01/600] Total Loss: 17.4118, Discrepancy Loss: 0.0429,  Constraint Loss: 1.4474
[02/600] Total Loss: 8.0850, Discrepancy Loss: 0.0515,  Constraint Loss: 0.6695
[03/600] Total Loss: 6.3461, Discrepancy Loss: 0.0501,  Constraint Loss: 0.5247
[04/600] Total Loss: 3.8465, Discrepancy Loss: 0.0382,  Constraint Loss: 0.3174
[05/600] Total Loss: 1.6314, Discrepancy Loss: 0.0340,  Constraint Loss: 0.1331
[06/600] Total Loss: 0.7948, Discrepancy Loss: 0.0478,  Constraint Loss: 0.0622
[07/600] Total Loss: 0.4607, Discrepancy Loss: 0.0357,  Constraint Loss: 0.0354
[08/600] Total Loss: 0.4322, Discrepancy Loss: 0.0190,  Constraint Loss: 0.0344
[09/600] Total Loss: 1.3964, Discrepancy Loss: 0.0354,  Constraint Loss: 0.1134
[10/600] Total Loss: 0.3018, Discrepancy Loss: 0.0161,  Constraint Loss: 0.0238
[11/600] Total Loss: 0.2415, Discrepancy Loss: 0.0157,  Constraint Loss: 0.0188
[12/600] Total Loss: 0.2124, Discrepancy Loss: 0.0196,  Constraint Loss: 0.0161
[13/600] Total Loss: 0.1042, Discrepancy Loss: 0.0104,  Constraint Loss: 0.0078
[14/600] Total Loss: 0.0935, Discrepancy Loss: 0.0119,  Constraint Loss: 0.0068
[15/600] Total Loss: 0.0789, Discrepancy Loss: 0.0088,  Constraint Loss: 0.0058
[16/600] Total Loss: 0.1870, Discrepancy Loss: 0.0119,  Constraint Loss: 0.0146
[17/600] Total Loss: 0.0925, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0073
[18/600] Total Loss: 0.0525, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0039
[19/600] Total Loss: 0.0172, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0012
[20/600] Total Loss: 0.0120, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0006
[21/600] Total Loss: 0.0087, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0005
[22/600] Total Loss: 0.0058, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0003
