[01/200] Total Loss: 3.1703, Discrepancy Loss: 0.0288,  Constraint Loss: 0.2618
[02/200] Total Loss: 1.6103, Discrepancy Loss: 0.0233,  Constraint Loss: 0.1323
[03/200] Total Loss: 0.9630, Discrepancy Loss: 0.0262,  Constraint Loss: 0.0781
[04/200] Total Loss: 0.3210, Discrepancy Loss: 0.0201,  Constraint Loss: 0.0251
[05/200] Total Loss: 0.2387, Discrepancy Loss: 0.0306,  Constraint Loss: 0.0173
[06/200] Total Loss: 0.1203, Discrepancy Loss: 0.0245,  Constraint Loss: 0.0080
[07/200] Total Loss: 0.0694, Discrepancy Loss: 0.0131,  Constraint Loss: 0.0047
[08/200] Total Loss: 0.0769, Discrepancy Loss: 0.0193,  Constraint Loss: 0.0048
[09/200] Total Loss: 0.0320, Discrepancy Loss: 0.0118,  Constraint Loss: 0.0017
[10/200] Total Loss: 0.0292, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0018
[11/200] Total Loss: 0.0438, Discrepancy Loss: 0.0229,  Constraint Loss: 0.0017
[12/200] Total Loss: 0.0111, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0005
[13/200] Total Loss: 0.2919, Discrepancy Loss: 0.0258,  Constraint Loss: 0.0222
[14/200] Total Loss: 0.1145, Discrepancy Loss: 0.0139,  Constraint Loss: 0.0084
[15/200] Total Loss: 0.2967, Discrepancy Loss: 0.0723,  Constraint Loss: 0.0187
[16/200] Total Loss: 0.1504, Discrepancy Loss: 0.0366,  Constraint Loss: 0.0095
[17/200] Total Loss: 0.1108, Discrepancy Loss: 0.0453,  Constraint Loss: 0.0055
[18/200] Total Loss: 0.0824, Discrepancy Loss: 0.0308,  Constraint Loss: 0.0043
[19/200] Total Loss: 0.0626, Discrepancy Loss: 0.0267,  Constraint Loss: 0.0030
[20/200] Total Loss: 0.0431, Discrepancy Loss: 0.0178,  Constraint Loss: 0.0021
[21/200] Total Loss: 0.0297, Discrepancy Loss: 0.0171,  Constraint Loss: 0.0010
[22/200] Total Loss: 0.0385, Discrepancy Loss: 0.0281,  Constraint Loss: 0.0009
[23/200] Total Loss: 0.0184, Discrepancy Loss: 0.0140,  Constraint Loss: 0.0004
[24/200] Total Loss: 0.0155, Discrepancy Loss: 0.0109,  Constraint Loss: 0.0004
[25/200] Total Loss: 0.0087, Discrepancy Loss: 0.0068,  Constraint Loss: 0.0002
[26/200] Total Loss: 0.0161, Discrepancy Loss: 0.0136,  Constraint Loss: 0.0002
[27/200] Total Loss: 0.0208, Discrepancy Loss: 0.0082,  Constraint Loss: 0.0011
[28/200] Total Loss: 0.0114, Discrepancy Loss: 0.0096,  Constraint Loss: 0.0002
[29/200] Total Loss: 0.0094, Discrepancy Loss: 0.0077,  Constraint Loss: 0.0001
[30/200] Total Loss: 0.0114, Discrepancy Loss: 0.0095,  Constraint Loss: 0.0002
[31/200] Total Loss: 0.0089, Discrepancy Loss: 0.0075,  Constraint Loss: 0.0001
[32/200] Total Loss: 0.0050, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0001
[33/200] Total Loss: 0.0121, Discrepancy Loss: 0.0111,  Constraint Loss: 0.0001
[34/200] Total Loss: 0.0053, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0001
[35/200] Total Loss: 0.0076, Discrepancy Loss: 0.0069,  Constraint Loss: 0.0001
[36/200] Total Loss: 0.0059, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0001
[37/200] Total Loss: 0.0057, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0001
[38/200] Total Loss: 0.0091, Discrepancy Loss: 0.0084,  Constraint Loss: 0.0001
[39/200] Total Loss: 0.0052, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0000
[40/200] Total Loss: 0.0045, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0000
[41/200] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0000
[42/200] Total Loss: 0.0050, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[43/200] Total Loss: 0.0060, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0000
[44/200] Total Loss: 0.0025, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[45/200] Total Loss: 0.0038, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0000
[46/200] Total Loss: 0.0042, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0001
[47/200] Total Loss: 0.0024, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0000
[48/200] Total Loss: 0.0041, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0000
[49/200] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0000
[50/200] Total Loss: 0.0045, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0000
[51/200] Total Loss: 0.0028, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0000
[52/200] Total Loss: 0.0030, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0000
[53/200] Total Loss: 0.0031, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0000
[54/200] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0000
[55/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[56/200] Total Loss: 0.0028, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[57/200] Total Loss: 0.0017, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0000
[58/200] Total Loss: 0.0024, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0000
[59/200] Total Loss: 0.0018, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[60/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[61/200] Total Loss: 0.0021, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[62/200] Total Loss: 0.0015, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[63/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0000
[64/200] Total Loss: 0.0021, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[65/200] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0000
[66/200] Total Loss: 0.0024, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0000
[67/200] Total Loss: 0.0018, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0000
[68/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[69/200] Total Loss: 0.0020, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[70/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[71/200] Total Loss: 0.0019, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[72/200] Total Loss: 0.0022, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
[73/200] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[74/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[75/200] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[76/200] Total Loss: 0.0023, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0000
[77/200] Total Loss: 0.0023, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[78/200] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0000
[79/200] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0000
[80/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0000
[81/200] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0000
[82/200] Total Loss: 0.0030, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0000
[83/200] Total Loss: 0.0026, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0000
[84/200] Total Loss: 0.0015, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0000
[85/200] Total Loss: 0.0028, Discrepancy Loss: 0.0027,  Constraint Loss: 0.0000
[86/200] Total Loss: 0.0034, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0000
