[01/500] Total Loss: 0.7861, Discrepancy Loss: 0.0260,  Constraint Loss: 0.1520
[02/500] Total Loss: 0.7281, Discrepancy Loss: 0.0150,  Constraint Loss: 0.1426
[03/500] Total Loss: 0.0801, Discrepancy Loss: 0.0125,  Constraint Loss: 0.0135
[04/500] Total Loss: 0.0527, Discrepancy Loss: 0.0099,  Constraint Loss: 0.0086
[05/500] Total Loss: 0.0436, Discrepancy Loss: 0.0125,  Constraint Loss: 0.0062
[06/500] Total Loss: 0.0282, Discrepancy Loss: 0.0083,  Constraint Loss: 0.0040
[07/500] Total Loss: 0.0395, Discrepancy Loss: 0.0238,  Constraint Loss: 0.0031
[08/500] Total Loss: 0.0251, Discrepancy Loss: 0.0098,  Constraint Loss: 0.0031
[09/500] Total Loss: 0.0890, Discrepancy Loss: 0.0157,  Constraint Loss: 0.0147
[10/500] Total Loss: 0.0230, Discrepancy Loss: 0.0073,  Constraint Loss: 0.0031
[11/500] Total Loss: 0.0314, Discrepancy Loss: 0.0155,  Constraint Loss: 0.0032
[12/500] Total Loss: 0.0277, Discrepancy Loss: 0.0155,  Constraint Loss: 0.0024
[13/500] Total Loss: 0.0222, Discrepancy Loss: 0.0136,  Constraint Loss: 0.0017
[14/500] Total Loss: 0.0151, Discrepancy Loss: 0.0067,  Constraint Loss: 0.0017
[15/500] Total Loss: 0.0116, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0011
[16/500] Total Loss: 0.0135, Discrepancy Loss: 0.0076,  Constraint Loss: 0.0012
[17/500] Total Loss: 0.0095, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0009
[18/500] Total Loss: 0.0073, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0008
[19/500] Total Loss: 0.0085, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0006
[20/500] Total Loss: 0.0346, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0058
[21/500] Total Loss: 0.0140, Discrepancy Loss: 0.0056,  Constraint Loss: 0.0017
[22/500] Total Loss: 0.0089, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0008
[23/500] Total Loss: 0.0096, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0009
[24/500] Total Loss: 0.0071, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0007
[25/500] Total Loss: 0.0076, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0007
[26/500] Total Loss: 0.0074, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0005
[27/500] Total Loss: 0.0071, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0006
[28/500] Total Loss: 0.0068, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0004
[29/500] Total Loss: 0.0076, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0005
[30/500] Total Loss: 0.0071, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0004
[31/500] Total Loss: 0.0061, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0004
[32/500] Total Loss: 0.0062, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0004
[33/500] Total Loss: 0.0146, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0017
[34/500] Total Loss: 0.0074, Discrepancy Loss: 0.0062,  Constraint Loss: 0.0002
[35/500] Total Loss: 0.0346, Discrepancy Loss: 0.0110,  Constraint Loss: 0.0047
[36/500] Total Loss: 0.0068, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0003
[37/500] Total Loss: 0.0112, Discrepancy Loss: 0.0069,  Constraint Loss: 0.0009
[38/500] Total Loss: 0.0034, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0002
[39/500] Total Loss: 0.0484, Discrepancy Loss: 0.0197,  Constraint Loss: 0.0057
[40/500] Total Loss: 0.0046, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0002
[41/500] Total Loss: 0.0039, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0002
[42/500] Total Loss: 0.0669, Discrepancy Loss: 0.0245,  Constraint Loss: 0.0085
[43/500] Total Loss: 0.0281, Discrepancy Loss: 0.0081,  Constraint Loss: 0.0040
[44/500] Total Loss: 0.0072, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0006
[45/500] Total Loss: 0.0052, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0003
[46/500] Total Loss: 0.0047, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0005
[47/500] Total Loss: 0.0051, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0002
[48/500] Total Loss: 0.0065, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0002
[49/500] Total Loss: 0.0041, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[50/500] Total Loss: 0.0035, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0001
[51/500] Total Loss: 0.0040, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0002
[52/500] Total Loss: 0.0025, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[53/500] Total Loss: 0.0029, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0001
[54/500] Total Loss: 0.0041, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0001
[55/500] Total Loss: 0.0021, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0000
[56/500] Total Loss: 0.0027, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0001
[57/500] Total Loss: 0.0017, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0000
[58/500] Total Loss: 0.0059, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0004
[59/500] Total Loss: 0.0030, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0001
[60/500] Total Loss: 0.0032, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0001
[61/500] Total Loss: 0.0036, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[62/500] Total Loss: 0.0024, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0001
[63/500] Total Loss: 0.0035, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0000
[64/500] Total Loss: 0.0081, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0008
[65/500] Total Loss: 0.0032, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0000
[66/500] Total Loss: 0.0013, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0000
